Date,Count
20-Sep,36
21-Sep,36
21-Sep,37
22-Sep,33
22-Sep,35
23-Sep,36
23-Sep,33
24-Sep,40
24-Sep,34
25-Sep,31
25-Sep,36
26-Sep,30
26-Sep,42
27-Sep,27
27-Sep,37
28-Sep,27
28-Sep,35
29-Sep,32
29-Sep,37
30-Sep,34
30-Sep,36
1-Oct,33
1-Oct,34
2-Oct,24
2-Oct,36
3-Oct,29
3-Oct,34
4-Oct,37
4-Oct,38
5-Oct,29
5-Oct,36
6-Oct,27
6-Oct,39
7-Oct,29
7-Oct,39
8-Oct,33
8-Oct,34
9-Oct,33
9-Oct,29
10-Oct,34
10-Oct,27
11-Oct,31
11-Oct,32
12-Oct,35
12-Oct,32
13-Oct,33
13-Oct,29
14-Oct,38
14-Oct,29
15-Oct,34
15-Oct,31
16-Oct,35
16-Oct,37
17-Oct,35
17-Oct,34
18-Oct,34
18-Oct,34
19-Oct,31
19-Oct,35
20-Oct,25
20-Oct,36
21-Oct,31
21-Oct,38
22-Oct,35
22-Oct,36
23-Oct,38
23-Oct,35
24-Oct,32
24-Oct,36
25-Oct,38
25-Oct,33
26-Oct,36
26-Oct,37
27-Oct,35
27-Oct,36
28-Oct,39
28-Oct,40
29-Oct,37
29-Oct,37
30-Oct,37
30-Oct,40
31-Oct,34
31-Oct,43
1-Nov,37
1-Nov,37
2-Nov,38
2-Nov,35
3-Nov,35
3-Nov,41
4-Nov,33
4-Nov,33
5-Nov,32
5-Nov,32
6-Nov,36
6-Nov,38
7-Nov,28
7-Nov,39
8-Nov,30
8-Nov,37
9-Nov,29
9-Nov,41
10-Nov,34
10-Nov,37
11-Nov,32
11-Nov,35
12-Nov,39
12-Nov,30
13-Nov,38
13-Nov,29
14-Nov,37
14-Nov,30
15-Nov,39
15-Nov,36
16-Nov,37
16-Nov,34
17-Nov,36
17-Nov,37
18-Nov,34
18-Nov,37
19-Nov,33
19-Nov,38
20-Nov,28
20-Nov,32
21-Nov,31
21-Nov,34
22-Nov,30
22-Nov,33
23-Nov,27
23-Nov,39
24-Nov,32
24-Nov,43
25-Nov,34
25-Nov,43
26-Nov,29
26-Nov,40
27-Nov,35
27-Nov,33
28-Nov,34
28-Nov,35
29-Nov,42
29-Nov,31
30-Nov,35
30-Nov,33
1-Dec,40
1-Dec,40
2-Dec,37
2-Dec,43
3-Dec,41
3-Dec,39
4-Dec,36
4-Dec,36
5-Dec,37
5-Dec,45
6-Dec,36
6-Dec,37
7-Dec,35
7-Dec,34
8-Dec,35
8-Dec,44
9-Dec,35
9-Dec,43
10-Dec,36
10-Dec,36
11-Dec,34
11-Dec,42
12-Dec,39
12-Dec,41
13-Dec,32
13-Dec,39
14-Dec,22
14-Dec,39
15-Dec,35
15-Dec,39
16-Dec,31
16-Dec,37
17-Dec,37
17-Dec,46
18-Dec,35
18-Dec,39
19-Dec,37
19-Dec,39
20-Dec,32
20-Dec,36
21-Dec,31
21-Dec,33
22-Dec,32
22-Dec,37
23-Dec,32
23-Dec,38
24-Dec,32
24-Dec,32
25-Dec,25
25-Dec,25
26-Dec,29
26-Dec,31
27-Dec,33
27-Dec,30
28-Dec,33
28-Dec,40
29-Dec,30
29-Dec,29
30-Dec,29
30-Dec,34
31-Dec,26
31-Dec,26
